"Kod";"Nazwa";"pożary lasów;ogółem;2009;[szt.]";"pożary lasów;ogółem;2010;[szt.]";"pożary lasów;ogółem;2011;[szt.]";"pożary lasów;ogółem;2012;[szt.]";"pożary lasów;ogółem;2013;[szt.]";"pożary lasów;ogółem;2014;[szt.]";"pożary lasów;ogółem;2015;[szt.]";"pożary lasów;ogółem;2016;[szt.]";"pożary lasów;ogółem;2017;[szt.]";"pożary lasów;ogółem;2018;[szt.]";"pożary lasów;ogółem;2019;[szt.]";"pożary lasów;ogółem;2020;[szt.]";"pożary lasów;ogółem;2021;[szt.]";"pożary lasów;ogółem;2022;[szt.]";"pożary lasów;ogółem;2023;[szt.]";"pożary lasów;ogółem;2024;[szt.]";
0200000;"DOLNOŚLĄSKIE";631;285;495;463;218;321;914;386;221;671;533;386;193;496;246;;
0400000;"KUJAWSKO-POMORSKIE";584;287;514;542;308;396;598;356;112;525;528;320;178;437;364;;
0600000;"LUBELSKIE";201;156;326;489;230;219;637;195;272;418;444;424;175;355;181;;
0800000;"LUBUSKIE";666;484;670;563;383;295;645;278;173;703;583;568;223;668;297;;
1000000;"ŁÓDZKIE";798;238;584;945;196;279;918;392;224;540;816;452;211;503;379;;
1200000;"MAŁOPOLSKIE";139;130;228;308;140;120;348;97;116;236;190;176;129;179;58;;
1400000;"MAZOWIECKIE";2027;1057;1545;2007;1126;1169;3559;1344;1016;2110;2699;1650;689;1475;1416;;
1600000;"OPOLSKIE";205;100;179;212;86;155;258;85;88;165;148;82;51;120;58;;
1800000;"PODKARPACKIE";484;173;353;546;397;259;457;208;232;281;324;301;116;301;88;;
2000000;"PODLASKIE";305;122;156;211;137;164;475;135;63;298;326;201;89;161;236;;
2200000;"POMORSKIE";388;277;332;247;277;376;431;261;123;424;400;228;232;363;253;;
2400000;"ŚLĄSKIE";819;356;718;848;342;374;832;410;279;549;511;328;139;294;139;;
2600000;"ŚWIĘTOKRZYSKIE";762;257;700;914;408;294;665;324;331;589;609;598;225;443;258;;
2800000;"WARMIŃSKO-MAZURSKIE";261;144;127;108;120;179;337;114;89;194;259;120;67;178;202;;
3000000;"WIELKOPOLSKIE";632;379;810;566;286;398;837;442;186;679;753;463;315;618;412;;
3200000;"ZACHODNIOPOMORSKIE";260;235;435;296;229;247;346;259;67;485;512;330;263;408;321;;
